Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1690.2340862385322
FDW14,OUT017,1481.8506141732287
NCN55,OUT010,584.7577647727275
FDQ58,OUT017,2649.1102324324333
FDY38,OUT027,6280.890879999999
FDH56,OUT046,1922.1493817142857
FDL48,OUT018,713.8586545454552
FDC48,OUT027,2517.882088484847
FDN33,OUT045,1559.3429752688176
FDA36,OUT017,2752.970934653464
FDT44,OUT017,1922.1493817142857
FDQ56,OUT045,1481.8506141732287
NCC54,OUT019,584.7577647727275
FDU11,OUT049,2142.743570940171
DRL59,OUT013,713.8586545454552
FDM24,OUT049,2286.4132673684203
FDI57,OUT045,3130.0049049504946
DRC12,OUT018,2893.83982589928
NCM42,OUT027,3242.0620715328473
FDA46,OUT010,482.6995426229507
FDA31,OUT013,2851.631695876289
NCJ31,OUT035,3737.2957751824815
FDG52,OUT046,798.2176035398228
NCL19,OUT019,281.48208181818165
FDS10,OUT035,3384.108064242422
FDX22,OUT010,584.7577647727275
NCF19,OUT035,798.2176035398228
NCE06,OUT046,2503.5013364485985
DRC27,OUT046,4109.900606217618
FDE21,OUT035,1922.1493817142857
NCR42,OUT019,92.67548155339804
FDX51,OUT018,2893.83982589928
NCR06,OUT018,507.0464036697249
FDU31,OUT027,5329.314724444444
FDU59,OUT017,2503.5013364485985
FDR03,OUT027,5329.314724444444
FDS49,OUT027,2517.882088484847
FDD48,OUT010,281.48208181818165
NCF18,OUT017,2939.3484761904742
NCD43,OUT027,2517.882088484847
NCD54,OUT018,1752.2524400000004
FDY19,OUT010,281.48208181818165
NCY54,OUT017,2851.631695876289
NCL19,OUT018,2232.8470218487405
FDP23,OUT010,584.7577647727275
FDC26,OUT013,1511.8747716981138
FDR14,OUT010,165.9185816513762
NCS41,OUT035,3384.108064242422
FDF41,OUT035,3737.2957751824815
FDU34,OUT046,1987.251048648647
DRH11,OUT046,935.0323883040935
FDM03,OUT013,1511.8747716981138
FDS31,OUT017,3384.108064242422
FDJ20,OUT017,2142.743570940171
FDV44,OUT027,5329.314724444444
FDG02,OUT049,2752.970934653464
FDA09,OUT013,2851.631695876289
FDT04,OUT013,507.0464036697249
FDL58,OUT019,584.7577647727275
FDE52,OUT045,1424.5946902777773
FDW12,OUT035,2286.4132673684203
FDL51,OUT017,3753.0000993630574
NCY42,OUT027,3242.0620715328473
FDR07,OUT017,1559.3429752688176
FDN40,OUT045,2286.4132673684203
FDB35,OUT027,2517.882088484847
FDA22,OUT017,2286.4132673684203
NCL06,OUT046,4034.3003068965513
FDI35,OUT013,3384.108064242422
NCW42,OUT045,3753.0000993630574
NCX06,OUT049,2568.33283364486
FDC37,OUT027,2517.882088484847
FDZ14,OUT018,1752.2524400000004
DRG49,OUT049,3454.062559154929
NCG06,OUT045,4034.3003068965513
DRC36,OUT045,2851.631695876289
FDV21,OUT019,281.48208181818165
FDB53,OUT046,2660.9504030303024
DRP47,OUT019,584.7577647727275
FDA14,OUT013,2660.9504030303024
DRC24,OUT035,2660.9504030303024
FDW21,OUT018,1372.688490740741
NCH29,OUT046,1559.3429752688176
FDU58,OUT013,2893.83982589928
FDY27,OUT017,2851.631695876289
FDV56,OUT035,1784.4287381818178
FDT59,OUT046,4109.900606217618
FDB23,OUT046,3753.0000993630574
FDR49,OUT045,798.2176035398228
FDB03,OUT010,584.7577647727275
FDN39,OUT045,2453.7477006993004
FDX02,OUT027,5329.314724444444
FDQ16,OUT027,2517.882088484847
FDU35,OUT018,1372.688490740741
NCT29,OUT013,1987.251048648647
FDZ27,OUT046,798.2176035398228
FDN57,OUT017,2309.2007980000003
FDA03,OUT018,2232.8470218487405
FDZ36,OUT045,3384.108064242422
NCU05,OUT013,1243.068929770992
FDT39,OUT018,2232.8470218487405
FDK60,OUT017,1559.3429752688176
FDZ25,OUT017,2894.2207107142863
FDG12,OUT046,2243.6695967213113
DRB01,OUT019,482.6995426229507
NCC43,OUT027,6280.890879999999
FDX13,OUT019,584.7577647727275
FDM22,OUT049,796.6402682539683
FDJ03,OUT027,1378.263185276074
FDU14,OUT018,3327.9525829268287
FDB33,OUT010,346.8972837209304
FDP27,OUT046,3391.591252727272
FDO38,OUT010,165.9185816513762
FDE28,OUT027,6280.890879999999
FDO27,OUT035,1559.3429752688176
DRL23,OUT027,2517.882088484847
FDS28,OUT046,935.0323883040935
FDX24,OUT013,1481.8506141732287
FDZ02,OUT035,1559.3429752688176
FDL46,OUT045,1827.8328454545451
FDS60,OUT027,5329.314724444444
NCO06,OUT017,583.8145788617884
FDO16,OUT035,1481.8506141732287
FDC60,OUT049,1259.549051315789
FDA48,OUT018,3327.9525829268287
FDZ36,OUT027,5329.314724444444
FDK27,OUT045,1827.8328454545451
FDW23,OUT018,507.0464036697249
FDM14,OUT018,1372.688490740741
FDM14,OUT013,1690.2340862385322
FDW60,OUT018,2851.631695876289
FDE21,OUT013,1922.1493817142857
NCM42,OUT035,1879.05405
FDY59,OUT010,219.2185209302325
DRI49,OUT049,1259.549051315789
FDT28,OUT019,346.8972837209304
FDQ22,OUT018,507.0464036697249
FDR60,OUT049,1259.549051315789
FDC50,OUT019,219.2185209302325
FDV24,OUT013,2503.5013364485985
DRF48,OUT010,482.6995426229507
FDQ47,OUT046,583.8145788617884
DRN36,OUT049,1559.3429752688176
NCY06,OUT035,1987.251048648647
FDE52,OUT035,1424.5946902777773
NCB54,OUT045,1827.8328454545451
NCF31,OUT035,2286.4132673684203
FDJ08,OUT027,5329.314724444444
NCC07,OUT017,1690.2340862385322
NCD19,OUT027,1378.263185276074
FDL46,OUT049,1987.251048648647
FDM20,OUT045,4109.900606217618
NCI06,OUT010,425.93559145299156
DRM11,OUT035,4433.3040326530645
NCH07,OUT018,2232.8470218487405
FDS23,OUT013,2142.743570940171
FDO49,OUT018,713.8586545454552
FDS35,OUT049,1103.186213333333
DRK39,OUT045,1481.8506141732287
DRI39,OUT049,796.6402682539683
FDV04,OUT017,2503.5013364485985
NCN14,OUT035,3384.108064242422
FDH08,OUT013,4109.900606217618
FDS20,OUT046,3384.108064242422
FDV40,OUT049,1103.186213333333
FDZ48,OUT010,281.48208181818165
FDS24,OUT027,2517.882088484847
FDK44,OUT049,2568.33283364486
FDS48,OUT045,2660.9504030303024
FDK26,OUT010,482.6995426229507
FDD23,OUT045,3391.591252727272
NCH54,OUT017,2894.2207107142863
NCP14,OUT010,219.2185209302325
FDM60,OUT010,92.67548155339804
FDV24,OUT017,2503.5013364485985
FDH08,OUT018,3327.9525829268287
FDS12,OUT027,3242.0620715328473
FDR39,OUT027,5329.314724444444
FDP12,OUT027,1378.263185276074
DRF60,OUT027,6280.890879999999
FDC09,OUT035,1784.4287381818178
FDF50,OUT018,2893.83982589928
FDG28,OUT035,4109.900606217618
NCE19,OUT017,935.0323883040935
NCM53,OUT010,281.48208181818165
NCN18,OUT049,1511.8747716981138
FDF32,OUT035,3130.0049049504946
