Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1847.8883329363707
FDW14,OUT017,1569.340395067607
NCN55,OUT010,1875.6146394540174
FDQ58,OUT017,2585.9069755168534
FDY38,OUT027,5184.487477251139
FDH56,OUT046,1924.362077587014
FDL48,OUT018,600.9833054452924
FDC48,OUT027,2782.1132559615344
FDN33,OUT045,1510.6192424268115
FDA36,OUT017,3083.5309024469375
FDT44,OUT017,1996.4935037957134
FDQ56,OUT045,1311.6659923542159
NCC54,OUT019,1857.1401681498996
FDU11,OUT049,2054.132023871651
DRL59,OUT013,893.7120228673764
FDM24,OUT049,2554.8631918675046
FDI57,OUT045,3086.7148934163415
DRC12,OUT018,2763.252136518218
NCM42,OUT027,3196.6908548906927
FDA46,OUT010,1135.5781857735499
FDA31,OUT013,2803.794870961025
NCJ31,OUT035,3883.410515770455
FDG52,OUT046,802.6761242147213
NCL19,OUT019,362.28638732974605
FDS10,OUT035,3022.3819582516253
FDX22,OUT010,1456.510577559509
NCF19,OUT035,923.3255886047077
NCE06,OUT046,2536.7756336803204
DRC27,OUT046,3851.5256597351904
FDE21,OUT035,2026.5084885115239
NCR42,OUT019,-1361.459888416939
FDX51,OUT018,2866.840828622949
NCR06,OUT018,427.6701335107823
FDU31,OUT027,4948.160424087795
FDU59,OUT017,2711.865399829117
FDR03,OUT027,4754.8887927004
FDS49,OUT027,2757.777229425724
FDD48,OUT010,-72.83631751891056
NCF18,OUT017,3119.4869521109995
NCD43,OUT027,3101.4377698276194
NCD54,OUT018,1993.6221182893883
FDY19,OUT010,-35.80302287889913
NCY54,OUT017,2816.9893683735486
NCL19,OUT018,2019.2352357306022
FDP23,OUT010,1530.4639265695755
FDC26,OUT013,1823.1605600082062
FDR14,OUT010,-1029.5105777027927
NCS41,OUT035,3029.6090809767747
FDF41,OUT035,4050.3778255297825
FDU34,OUT046,2001.0302033223525
DRH11,OUT046,929.16799654844
FDM03,OUT013,1738.4438392924258
FDS31,OUT017,3025.862761210308
FDJ20,OUT017,2100.939881877371
FDV44,OUT027,4493.355610656381
FDG02,OUT049,3106.1972203150776
FDA09,OUT013,2910.7131479667137
FDT04,OUT013,679.3223878476113
FDL58,OUT019,2290.7918233386213
FDE52,OUT045,1443.6955288523998
FDW12,OUT035,2505.5498967295957
FDL51,OUT017,3553.474523891891
NCY42,OUT027,3691.918132887457
FDR07,OUT017,1666.9851632822451
FDN40,OUT045,2362.7811334748376
FDB35,OUT027,2958.445339816777
FDA22,OUT017,2738.737533348182
NCL06,OUT046,4114.821055993225
FDI35,OUT013,2915.9125213200296
NCW42,OUT045,3413.3683740222054
NCX06,OUT049,2941.6454711707174
FDC37,OUT027,3200.682626378686
FDZ14,OUT018,1732.4719856665197
DRG49,OUT049,3955.685809104231
NCG06,OUT045,3958.0775430969975
DRC36,OUT045,2723.9661227382303
FDV21,OUT019,60.2188117753758
FDB53,OUT046,2356.3961205963255
DRP47,OUT019,2039.8332139681283
FDA14,OUT013,2349.4812350526763
DRC24,OUT035,2572.275518735461
FDW21,OUT018,1403.2080747193995
NCH29,OUT046,1553.1657292194022
FDU58,OUT013,3075.6121785258906
FDY27,OUT017,2933.877835392904
FDV56,OUT035,1952.1774661272916
FDT59,OUT046,3657.2676248576768
FDB23,OUT046,3622.522061826779
FDR49,OUT045,695.4414437643359
FDB03,OUT010,1918.3390936471128
FDN39,OUT045,2616.3060436039723
FDX02,OUT027,4983.582896980548
FDQ16,OUT027,3192.6003025613963
FDU35,OUT018,1327.6730717507671
NCT29,OUT013,1963.2394058171662
FDZ27,OUT046,819.100816187593
FDN57,OUT017,2350.3060414911447
FDA03,OUT018,2094.5300642558664
FDZ36,OUT045,2922.5975244436095
NCU05,OUT013,1326.920227140388
FDT39,OUT018,2187.9460832301
FDK60,OUT017,1711.2903167739391
FDZ25,OUT017,2846.653855260602
FDG12,OUT046,2013.7818064989647
DRB01,OUT019,1114.4758354857302
NCC43,OUT027,5374.979662690155
FDX13,OUT019,2031.182878731795
FDM22,OUT049,1029.664462873395
FDJ03,OUT027,2311.064689927328
FDU14,OUT018,3675.7729285476967
FDB33,OUT010,632.9948207792743
FDP27,OUT046,3014.135848795689
FDO38,OUT010,-668.5303267607167
FDE28,OUT027,5147.922292134022
FDO27,OUT035,1705.2848317114072
DRL23,OUT027,3171.108676864363
FDS28,OUT046,968.5135952774344
FDX24,OUT013,1541.6376501519562
FDZ02,OUT035,1750.9754942529476
FDL46,OUT045,1813.811759304764
FDS60,OUT027,4298.64236754585
NCO06,OUT017,640.614780858421
FDO16,OUT035,1531.4707915765944
FDC60,OUT049,1547.3317677547602
FDA48,OUT018,3198.2866043685744
FDZ36,OUT027,4451.411196270603
FDK27,OUT045,1881.3411816080406
FDW23,OUT018,383.5674852483612
FDM14,OUT018,1507.7191535257525
FDM14,OUT013,1785.7660326437172
FDW60,OUT018,2601.722732943899
FDE21,OUT013,1911.603784417272
NCM42,OUT035,1885.801926403326
FDY59,OUT010,-385.53783344457764
DRI49,OUT049,1381.044494104445
FDT28,OUT019,511.2170468933607
FDQ22,OUT018,406.89576362147363
FDR60,OUT049,1334.0976026421642
FDC50,OUT019,-395.9144271207009
FDV24,OUT013,2444.279528269537
DRF48,OUT010,1069.8988940310044
FDQ47,OUT046,648.8019125975832
DRN36,OUT049,1659.2758547983312
NCY06,OUT035,2177.6691773665525
FDE52,OUT035,1646.6940207925109
NCB54,OUT045,1941.7322504308572
NCF31,OUT035,2552.9849497413816
FDJ08,OUT027,4453.217113441902
NCC07,OUT017,1794.9000290247195
NCD19,OUT027,2329.95005000913
FDL46,OUT049,2009.8534930243495
FDM20,OUT045,3827.756531523705
NCI06,OUT010,926.420312208179
DRM11,OUT035,4221.907301379233
NCH07,OUT018,2214.412723488742
FDS23,OUT013,2089.243688596246
FDO49,OUT018,595.8223161180154
