Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1847.8644675083146
FDW14,OUT017,1569.318394524782
NCN55,OUT010,1875.6477747186473
FDQ58,OUT017,2585.8762762141014
FDY38,OUT027,5184.479659670535
FDH56,OUT046,1924.3425449753454
FDL48,OUT018,600.9950405688492
FDC48,OUT027,2782.0598521560614
FDN33,OUT045,1510.6491220386697
FDA36,OUT017,3083.4957622509637
FDT44,OUT017,1996.5034654757937
FDQ56,OUT045,1311.6896179972662
NCC54,OUT019,1857.2205879119715
FDU11,OUT049,2054.145810999744
DRL59,OUT013,893.6974760731141
FDM24,OUT049,2554.869357145995
FDI57,OUT045,3086.716131979184
DRC12,OUT018,2763.2467347249158
NCM42,OUT027,3196.6470935865373
FDA46,OUT010,1135.6512492124482
FDA31,OUT013,2803.8189293268847
NCJ31,OUT035,3883.46124094266
FDG52,OUT046,802.6592839512725
NCL19,OUT019,362.3011738014603
FDS10,OUT035,3022.361386522128
FDX22,OUT010,1456.509445478681
NCF19,OUT035,923.3084898086263
NCE06,OUT046,2536.7743736355264
DRC27,OUT046,3851.507029017851
FDE21,OUT035,2026.4818025993568
NCR42,OUT019,-1361.4275689748674
FDX51,OUT018,2866.824657985188
NCR06,OUT018,427.6528111247343
FDU31,OUT027,4948.109754200806
FDU59,OUT017,2711.8716825103893
FDR03,OUT027,4754.831102943609
FDS49,OUT027,2757.7525333932517
FDD48,OUT010,-72.8301771011669
NCF18,OUT017,3119.494924248947
NCD43,OUT027,3101.3886184818184
NCD54,OUT018,1993.6157146451096
FDY19,OUT010,-35.787709628278094
NCY54,OUT017,2817.0371876165677
NCL19,OUT018,2019.2223546673413
FDP23,OUT010,1530.4741247450665
FDC26,OUT013,1823.1921576054997
FDR14,OUT010,-1029.394960608356
NCS41,OUT035,3029.6005421628306
FDF41,OUT035,4050.4005208123917
FDU34,OUT046,2001.0181606393667
DRH11,OUT046,929.1564389146445
FDM03,OUT013,1738.4740727742087
FDS31,OUT017,3025.8439871315513
FDJ20,OUT017,2100.947121060851
FDV44,OUT027,4493.311463870019
FDG02,OUT049,3106.1743007475247
FDA09,OUT013,2910.7514520733916
FDT04,OUT013,679.3455546384869
FDL58,OUT019,2290.8468185194924
FDE52,OUT045,1443.6832092433021
FDW12,OUT035,2505.5269675046243
FDL51,OUT017,3553.4578379425975
NCY42,OUT027,3691.868490502342
FDR07,OUT017,1666.9838721866809
FDN40,OUT045,2362.7961083767477
FDB35,OUT027,2958.4124998461466
